PlayerID,PlayerName,Team,MatchID,Runs,BallsFaced,Fours,Sixes,StrikeRate,Wickets,OversBowled,Economy,MatchType,Venue,Date
1,Virat Kohli,India,1189,102,52,14,10,196.15,4,8,4.09,T20,Melbourne,2021-04-02
2,Babar Azam,Pakistan,1173,74,75,3,7,98.67,2,10,3.39,Test,Delhi,2023-04-24
3,Joe Root,England,1007,87,30,5,1,290.0,3,8,7.32,ODI,Melbourne,2021-04-21
4,Ravindra Jadeja,India,1050,57,22,12,8,259.09,0,4,7.28,Test,London,2021-03-27
5,Jonny Bairstow,England,1071,14,62,1,2,22.58,2,6,6.6,ODI,Sydney,2023-11-30
6,Jos Buttler,England,1071,63,3,4,2,2100.0,4,0,0.0,ODI,Melbourne,2021-11-20
7,Rohit Sharma,India,1097,17,4,0,1,425.0,1,2,5.13,ODI,Karachi,2021-12-05
8,Steve Smith,Australia,1186,52,2,3,6,2600.0,3,8,8.83,T20,Delhi,2022-02-14
9,Ravindra Jadeja,India,1075,34,78,0,3,43.59,1,6,5.18,Test,Karachi,2023-03-28
10,Babar Azam,Pakistan,1011,133,54,3,21,246.3,4,2,8.43,Test,Melbourne,2021-08-15
11,KL Rahul,India,1025,13,95,3,2,13.68,3,0,0.0,T20,Lahore,2022-07-17
12,David Warner,Australia,1094,39,85,1,6,45.88,4,2,9.76,T20,Melbourne,2023-10-04
13,Steve Smith,Australia,1155,123,41,28,14,300.0,4,0,0.0,Test,Sydney,2022-12-29
14,Mohammad Rizwan,Pakistan,1118,88,71,8,7,123.94,0,6,5.05,T20,Lahore,2023-08-03
15,Shaheen Afridi,Pakistan,1196,62,11,2,0,563.64,2,4,8.4,ODI,Melbourne,2020-03-06
16,Glenn Maxwell,Australia,1068,4,41,1,0,9.76,0,6,5.32,ODI,Melbourne,2023-03-07
17,David Warner,Australia,1167,47,23,7,4,204.35,2,6,7.46,T20,London,2023-08-09
18,Ben Stokes,England,1067,34,65,2,4,52.31,2,0,0.0,ODI,Melbourne,2023-02-23
19,Mitchell Starc,Australia,1109,4,90,0,0,4.44,2,0,0.0,Test,London,2022-01-11
20,Mohammad Rizwan,Pakistan,1130,14,90,1,0,15.56,2,0,0.0,T20,Delhi,2020-04-06
21,Shubman Gill,India,1160,51,96,3,4,53.12,4,4,4.42,ODI,London,2023-05-06
22,Suryakumar Yadav,India,1097,12,32,2,2,37.5,2,10,9.16,Test,Nottingham,2022-12-19
23,Mitchell Starc,Australia,1002,44,62,8,4,70.97,3,6,4.53,Test,Delhi,2023-10-28
24,Pat Cummins,Australia,1028,83,30,10,9,276.67,3,0,0.0,T20,London,2020-11-19
25,Joe Root,England,1184,128,27,12,8,474.07,2,10,6.58,Test,Lahore,2022-10-22
26,Fakhar Zaman,Pakistan,1027,136,62,32,18,219.35,1,6,4.71,Test,Lahore,2023-08-01
27,Mohammad Rizwan,Pakistan,1095,58,32,7,8,181.25,3,0,0.0,ODI,Mumbai,2023-05-11
28,Glenn Maxwell,Australia,1004,61,58,3,6,105.17,1,4,5.11,ODI,Karachi,2021-09-21
29,Babar Azam,Pakistan,1061,112,56,16,16,200.0,1,2,5.88,Test,Delhi,2020-06-24
30,Joe Root,England,1194,86,96,0,0,89.58,2,10,4.01,Test,Sydney,2020-09-19
31,Jonny Bairstow,England,1042,67,55,10,7,121.82,2,0,0.0,T20,London,2021-03-09
32,Shaheen Afridi,Pakistan,1102,37,24,4,3,154.17,1,10,5.79,Test,Karachi,2022-06-16
33,Joe Root,England,1063,143,97,8,5,147.42,4,4,7.14,ODI,Delhi,2021-11-23
34,R Ashwin,India,1141,146,90,2,18,162.22,3,6,9.58,ODI,Melbourne,2020-01-15
35,Virat Kohli,India,1058,127,39,17,7,325.64,0,4,5.39,ODI,Mumbai,2021-11-07
36,Ravindra Jadeja,India,1060,150,31,29,9,483.87,2,6,4.22,T20,Nottingham,2021-03-14
37,Fakhar Zaman,Pakistan,1147,111,60,16,1,185.0,0,10,9.28,T20,Melbourne,2022-08-26
38,Ben Stokes,England,1024,36,32,6,0,112.5,0,4,7.9,ODI,London,2021-12-26
39,Jofra Archer,England,1119,130,20,23,21,650.0,0,6,3.59,Test,Mumbai,2023-10-11
40,Virat Kohli,India,1103,103,84,2,15,122.62,0,4,9.82,Test,Karachi,2020-08-11
41,Mohammad Rizwan,Pakistan,1048,145,82,1,21,176.83,2,8,4.57,Test,Nottingham,2020-10-14
42,Ben Stokes,England,1071,67,33,13,4,203.03,3,4,7.6,T20,Melbourne,2020-06-03
